type,w_i^v,v_i^v,lat_i^v,lon_i^v
平板车,35,92,116.43895,26.27066
高栏车,34,99,116.7713315,28.87060788
通风箱车,33,92,114.9031918,25.80254872
平板车,32,91,114.93143,28.06628
冷藏车,35,99,116.2848,29.063
平板车,35,98,116.4691,29.2772
通风箱车,19,75,117.3159724,29.3519873
低栏车,21,69,116.8438025,29.58516195
冷藏车,34,96,117.3212,28.50582
平板车,34,98,116.7446491,29.57407919
高栏车,19,75,115.93452,28.11188
冷藏车,19,67,116.293453,29.08951228
高栏车,21,65,115.8756623,28.45565019
厢车,32,95,114.1737674,23.8808605
厢车,33,99,116.2734,28.9821
低栏车,19,73,116.8424025,29.58636195
高栏车,35,98,116.3177,29.0957
厢车,21,71,116.07993,28.94277
通风箱车,21,68,118.539011,29.03114694
厢车,34,97,115.892654,28.04999092
通风箱车,33,93,116.2876,29.0606
厢车,33,99,115.80139,29.07826
低栏车,32,93,116.289,29.0595
低栏车,19,73,116.4515,29.2731
厢车,19,73,116.47882,29.54676
冷藏车,21,74,116.0334087,28.79836275
高栏车,20,68,116.06613,29.04027
低栏车,20,71,118.454299,29.80602877
平板车,19,75,116.7300469,29.40435058
冷藏车,35,95,116.9886589,29.03177338
低栏车,33,98,115.67094,26.59418
高栏车,34,97,116.3086,29.0704
低栏车,32,90,116.7130469,29.41805058
通风箱车,19,68,116.3266,29.0937
平板车,33,96,115.894654,28.05379092
低栏车,32,96,116.43935,26.27496
平板车,35,92,116.11055,29.1003
厢车,32,99,116.997904,29.13199092
通风箱车,34,90,115.92857,29.24688
通风箱车,33,90,114.8915918,25.81564872
低栏车,19,74,116.2705,29.0779
冷藏车,20,66,113.0505462,23.86732832
通风箱车,32,99,116.2548,29
平板车,21,73,115.19212,27.99806
厢车,34,93,116.44285,26.27716
平板车,34,97,115.21042,27.98506
低栏车,32,91,114.8011833,26.90520312
高栏车,19,70,114.1795674,23.8835605
低栏车,20,69,117.3355,28.50272
平板车,21,69,116.2073599,29.45130632
冷藏车,21,73,115.96012,28.10108
冷藏车,33,94,116.0771667,29.01348333
低栏车,19,69,115.80266,26.71566
通风箱车,34,93,117.5682354,28.19874161
冷藏车,21,72,116.5161,29.2521
低栏车,35,94,114.3295,28.0298
低栏车,33,100,116.44515,26.27476
高栏车,21,71,114.7184538,27.12190807
低栏车,33,98,114.2731,28.0515
厢车,19,71,116.47702,29.55476
低栏车,32,95,116.20657,28.81068
冷藏车,32,95,116.7060959,29.72780471
通风箱车,20,74,116.6750824,29.47522368
高栏车,19,67,116.9723589,29.04577338
高栏车,19,67,117.007004,29.12769092
厢车,20,75,116.7148975,26.55180195
冷藏车,20,67,116.3041507,28.99479855
冷藏车,32,97,115.79929,29.07996
高栏车,20,70,115.50786,27.65628
高栏车,33,96,116.59836,29.49814
厢车,20,70,116.6214415,29.40971982
通风箱车,34,90,116.0517667,29.03078333
厢车,34,90,116.2492667,28.95483333
通风箱车,34,96,116.5116819,29.37137538
通风箱车,33,94,114.2763,28.0664
冷藏车,33,95,116.322302,29.16227935
低栏车,20,74,115.21182,27.98666
冷藏车,21,69,116.0230613,25.85099725
厢车,20,71,117.6163322,28.33278713
厢车,19,71,117.2438987,28.9126161
平板车,19,74,114.7637548,28.159231
厢车,32,94,115.75636,26.74826
高栏车,34,97,116.42645,26.28716
平板车,21,72,115.668049,28.64596352
冷藏车,32,94,114.8880918,25.82124872
冷藏车,20,66,115.935049,28.80731352
高栏车,19,68,115.18516,28.07884
低栏车,35,99,115.243844,26.57429092
低栏车,33,96,114.9338708,25.87988578
平板车,32,91,116.6797959,29.74780471
平板车,35,90,114.6905538,27.14380807
高栏车,19,72,116.43859,29.5656
平板车,21,74,115.18982,28.00336
平板车,21,73,116.7439315,28.89850788
通风箱车,33,97,115.62054,26.63418
厢车,21,69,116.8145025,29.61466195
通风箱车,33,94,116.40725,26.30176
低栏车,19,69,116.56506,29.53104
厢车,19,67,114.89733,28.09938
高栏车,33,93,116.2495,29.0971
