type,w_i^v,v_i^v,lat_i^v,lon_i^v
厢车,19,71,117.2438987,28.9126161
平板车,19,74,114.7637548,28.159231
厢车,32,94,115.75636,26.74826
高栏车,34,97,116.42645,26.28716
平板车,21,72,115.668049,28.64596352
冷藏车,32,94,114.8880918,25.82124872
冷藏车,20,66,115.935049,28.80731352
高栏车,19,68,115.18516,28.07884
低栏车,35,99,115.243844,26.57429092
低栏车,33,96,114.9338708,25.87988578
平板车,32,91,116.6797959,29.74780471
平板车,35,90,114.6905538,27.14380807
高栏车,19,72,116.43859,29.5656
平板车,21,74,115.18982,28.00336
平板车,21,73,116.7439315,28.89850788
通风箱车,33,97,115.62054,26.63418
厢车,21,69,116.8145025,29.61466195
通风箱车,33,94,116.40725,26.30176
低栏车,19,69,116.56506,29.53104
厢车,19,67,114.89733,28.09938
高栏车,33,93,116.2495,29.0971
平板车,33,96,116.3413154,29.04259752
冷藏车,34,96,114.0515322,24.91906512
冷藏车,19,68,116.216567,29.25996001
低栏车,33,92,117.3111076,29.34380682
厢车,32,91,116.2937545,28.99092093
通风箱车,34,93,116.2286,29.02275
冷藏车,35,92,114.7076557,27.11074426
冷藏车,32,92,117.65919,29.27208199
高栏车,34,93,116.867563,28.94714231
低栏车,19,71,113.0624338,23.84234308
低栏车,33,91,117.2460549,28.89128372
低栏车,35,96,116.8672395,28.96560095
低栏车,32,97,118.5285756,29.94392387
平板车,34,98,117.5259067,29.37967667
低栏车,20,67,116.4573052,29.53138952
低栏车,21,75,113.2578506,24.06129886
低栏车,21,67,115.8377218,27.99379578
平板车,21,66,116.5056296,29.35623015
通风箱车,32,93,115.7891695,29.07004595
平板车,35,100,117.3107657,29.34366063
平板车,19,75,116.8016934,26.67035334
通风箱车,33,94,116.3128168,29.01200708
冷藏车,35,94,116.7232141,29.52631976
平板车,19,73,116.3094924,29.08860524
高栏车,33,97,117.2461749,28.89146372
高栏车,33,98,114.7673281,28.13682433
通风箱车,34,91,116.8673681,28.96579381
平板车,19,72,115.8713871,28.44632067
冷藏车,21,72,118.6411614,29.09207671
