type,w_j^c,v_j^c,lat_j^c1,lon_j^c1,lat_j^c2,lon_j^c2,t_j^c1,t_j^c2,f_j^c
生鲜果蔬,18,65,113.84955,27.62975,114.93245,25.38192,2023/2/1 12:22,2023/2/2 23:59,1550
日用百货,29,80,113.86952,27.64913,116.03132,25.88136,2023/2/1 14:14,2023/2/2 19:57,1350
机器零件,33,79,115.53936,28.83839,118.4306357,29.13586286,2023/2/1 13:56,2023/2/2 18:54,1350
机器零件,18,55,115.84906,28.67919,122.11225,30.02664571,2023/2/1 11:41,2023/2/2 20:29,1500
五金机械,33,60,115.90793,28.68807,119.6586179,29.08488429,2023/2/1 8:45,2023/2/2 16:43,2900
日用百货,30,89,115.8691,28.66915,121.5524027,29.87168381,2023/2/1 11:52,2023/2/2 13:33,3300
生鲜果蔬,20,49,115.91877,28.62873,120.1721719,30.25163048,2023/2/1 15:13,2023/2/3 0:19,2600
机器零件,29,69,115.72879,28.71871,114.35252,25.40196,2023/2/1 13:10,2023/2/2 19:44,1700
砂石散货,34,86,115.72614,28.71586,117.9518421,28.43155429,2023/2/1 9:37,2023/2/2 19:38,1350
砂石散货,18,68,115.9219467,28.63150333,115.53196,28.07164,2023/2/1 9:53,2023/2/2 17:23,2045
机器零件,31,76,115.7317167,28.72113333,120.95196,28.13164,2023/2/1 13:43,2023/2/2 15:16,3300
生鲜果蔬,30,63,115.9523967,28.68160333,115.53196,28.07164,2023/2/1 10:03,2023/2/2 13:14,2045
五金机械,32,87,116.17942,29.26921,117.9518421,28.43155429,2023/2/1 12:03,2023/2/2 17:21,1880
机器零件,34,85,116.18039,29.27,114.53259,25.802,2023/2/1 14:26,2023/2/2 15:08,1350
机器零件,29,79,114.93066,27.80034,120.8228314,27.93178286,2023/2/1 11:05,2023/2/2 17:48,1500
砂石散货,34,62,114.66933,27.81958,120.17204,30.2816,2023/2/1 12:32,2023/2/2 23:05,3300
五金机械,34,94,117.0697,28.26937,121.4430571,28.68703714,2023/2/1 8:11,2023/2/2 17:11,3200
五金机械,19,49,115.9077,28.6879,116.53182,27.22156,2023/2/1 14:11,2023/2/2 16:06,1000
五金机械,17,49,115.86869,28.668835,114.98084,27.12112,2023/2/1 8:09,2023/2/2 12:36,1000
机器零件,17,40,115.91818,28.62827,121.1528644,27.83179048,2023/2/1 15:10,2023/2/2 21:14,3300
生鲜果蔬,20,55,115.72802,28.718105,120.17204,30.2816,2023/2/1 8:17,2023/2/2 19:59,3200
生鲜果蔬,29,75,115.94687,28.67693,120.9057929,29.50351429,2023/2/1 15:57,2023/2/2 23:33,3200
生鲜果蔬,20,47,115.92572,28.545755,115.37103,28.42128,2023/2/1 11:51,2023/2/2 22:04,2045
生鲜果蔬,20,69,115.81457,28.69458,116.6818751,28.7015619,2023/2/1 14:10,2023/2/2 22:18,2045
砂石散货,18,69,115.54342,28.843405,120.5745821,30.00292714,2023/2/1 11:21,2023/2/2 18:45,3200
机器零件,17,40,116.26555,28.36505,115.00238,25.87188,2023/2/1 13:22,2023/2/2 16:05,1000
五金机械,17,46,117.9501421,28.42989524,113.8513,27.6315,2023/2/1 12:47,2023/2/2 18:35,2900
生鲜果蔬,33,67,115.9077,28.6879,115.78103,25.60128,2023/2/1 14:25,2023/2/2 16:42,2045
砂石散货,17,63,115.87,28.6699,120.6828974,28.1517981,2023/2/1 8:34,2023/2/2 12:21,3200
日用百货,29,78,115.77973,25.59998,120.2722049,30.1716381,2023/2/1 10:34,2023/2/2 10:47,3200
