type,w_i^v,v_i^v,lat_i^v,lon_i^v
厢车,20,65,116.2601338,29.05801738
通风箱车,19,75,114.9255824,28.05797524
通风箱车,19,71,118.5287385,29.94416816
低栏车,34,93,117.5214973,28.2120178
平板车,20,69,114.9256081,28.05801381
厢车,21,68,114.7942268,25.16773974
低栏车,20,74,116.3203287,29.03771569
平板车,35,93,116.0552438,29.03553238
通风箱车,35,93,116.0384916,28.74580188
高栏车,20,66,116.288821,29.0655981
平板车,35,90,116.1828046,29.44955679
冷藏车,21,65,116.7233684,29.52655119
冷藏车,35,95,117.0426737,29.80053957
厢车,20,65,115.7893752,29.07035452
高栏车,21,71,114.9256938,28.05814238
低栏车,21,71,117.5261724,29.38007524
高栏车,20,74,117.526181,29.3800881
通风箱车,21,68,116.0970702,29.07440284
冷藏车,34,99,114.8972937,25.79483491
冷藏车,32,99,114.7912195,26.89344074
冷藏车,34,92,116.8019419,26.67072619
平板车,35,90,118.5331615,29.02370599
厢车,35,91,114.4858843,27.19634364
厢车,21,70,114.8973366,25.7948992
高栏车,34,96,116.7653048,28.86250121
高栏车,19,69,117.3157581,28.49647381
低栏车,32,95,115.5005077,27.65013477
厢车,32,93,115.9310352,29.22791952
平板车,21,66,115.8380732,27.99432292
低栏车,21,69,114.8966662,26.990705
厢车,33,97,116.8391902,29.57732672
通风箱车,20,72,116.2175765,29.26114096
厢车,21,73,117.6175598,28.31316189
厢车,19,68,116.9630066,29.03442815
低栏车,21,65,116.0989552,29.08452452
冷藏车,34,94,116.7094133,30.0418793
厢车,32,91,115.2576688,26.5455614
厢车,20,67,117.3212698,29.3085287
通风箱车,21,65,116.289172,29.08052418
冷藏车,20,71,115.8717385,28.44684781
冷藏车,33,90,115.6036163,28.83855239
高栏车,34,90,116.2604852,29.05854452
平板车,32,98,114.7676186,28.13689338
通风箱车,21,65,115.2578164,26.54541616
冷藏车,35,97,116.216567,29.25996001
低栏车,21,66,115.9458871,28.78018733
冷藏车,19,66,117.5220278,28.21239685
通风箱车,35,96,115.64214,26.59558
低栏车,32,98,117.3208288,29.30769727
平板车,33,95,116.997425,29.11529426
通风箱车,21,73,117.3153171,28.49565952
冷藏车,19,67,116.6022429,29.36708812
厢车,20,72,116.9972707,29.11508854
低栏车,33,92,117.5256629,29.37918381
冷藏车,34,95,116.9622913,29.03323672
高栏车,19,67,116.46336,29.26784667
高栏车,32,97,116.2680786,28.9706081
低栏车,32,95,116.6091481,29.39622029
高栏车,34,95,116.2881057,29.06444095
低栏车,34,91,117.3148543,28.49504238
