type,w_j^c,v_j^c,lat_j^c1,lon_j^c1,lat_j^c2,lon_j^c2,t_j^c1,t_j^c2,f_j^c
砂石散货,32,78,116.2674667,28.36721667,120.2004797,30.27023429,2023/2/1 13:42,2023/2/2 13:56,3760
日用百货,33,74,115.9248667,28.63433333,120.1704381,30.28021381,2023/2/1 13:24,2023/2/2 22:12,2600
五金机械,17,40,115.7347667,28.72408333,114.2678924,26.71891524,2023/2/1 8:35,2023/2/2 14:02,1000
日用百货,18,57,115.72473,28.71402,121.131945,28.85369095,2023/2/1 15:50,2023/2/2 20:52,3300
日用百货,34,90,117.1215,28.9712,119.7041979,29.08089381,2023/2/1 11:04,2023/2/2 13:43,1350
日用百货,34,94,113.8513,27.6315,120.4306765,30.87962239,2023/2/1 13:17,2023/2/2 15:09,1500
生鲜果蔬,19,44,113.8714,27.651,121.431186,29.28058238,2023/2/1 8:54,2023/2/2 19:03,6830
日用百货,20,67,115.54137,28.84038,114.9788181,27.11934381,2023/2/1 11:27,2023/2/2 14:35,1000
生鲜果蔬,18,66,115.8512,28.6813,120.4017633,27.50061333,2023/2/1 8:58,2023/2/2 18:55,3200
五金机械,19,42,115.9102,28.6903,120.9499771,28.12952952,2023/2/1 14:27,2023/2/2 19:17,3200
生鲜果蔬,19,56,115.8715,28.6715,117.1695,29.2696,2023/2/1 14:24,2023/2/3 1:41,2045
五金机械,18,42,115.9213,28.6312,121.8711444,29.4805619,2023/2/1 11:21,2023/2/2 13:04,1500
生鲜果蔬,29,71,115.73145,28.7213,113.7303,27.6503,2023/2/1 15:24,2023/2/2 20:32,1350
日用百货,17,46,115.72893,28.71857,116.5301495,27.22007095,2023/2/1 14:36,2023/2/2 18:36,1000
日用百货,32,71,115.9248667,28.63433333,119.720812,30.23039809,2023/2/1 9:09,2023/2/2 15:39,2600
生鲜果蔬,20,52,115.7347667,28.72408333,119.1777193,29.03216524,2023/2/1 14:00,2023/2/2 16:32,1350
生鲜果蔬,32,62,115.9546667,28.68383333,120.1704381,30.28021381,2023/2/1 8:55,2023/2/2 9:49,2900
日用百货,31,77,116.18182,29.27156,119.720812,30.23039809,2023/2/1 13:35,2023/2/3 0:03,2900
五金机械,17,52,116.18189,29.2716,122.2084235,30.00241952,2023/2/1 10:06,2023/2/2 14:44,1500
生鲜果蔬,29,75,114.93196,27.80164,117.1191,28.96885,2023/2/1 8:01,2023/2/2 18:32,1350
砂石散货,29,93,114.67103,27.82128,120.7013522,28.00066429,2023/2/1 12:10,2023/2/2 13:12,1500
生鲜果蔬,32,95,117.0721,28.27172,120.572085,30.00013095,2023/2/1 15:58,2023/2/2 16:11,2900
日用百货,33,73,115.9102,28.6903,121.131945,28.85369095,2023/2/1 8:08,2023/2/2 14:29,3300
机器零件,17,61,115.8715,28.6715,121.3815929,28.37356381,2023/2/1 12:42,2023/2/2 23:26,3300
日用百货,17,59,115.9213,28.6312,114.9788181,27.11934381,2023/2/1 11:08,2023/2/2 22:19,1000
机器零件,31,69,115.73145,28.7213,119.9013807,31.01987666,2023/2/1 14:02,2023/2/2 22:30,2900
砂石散货,19,69,115.95061,28.68039,114.2678924,26.71891524,2023/2/1 9:00,2023/2/2 12:07,2045
生鲜果蔬,19,51,115.92977,28.54948,114.6691195,27.81943095,2023/2/1 13:02,2023/2/2 23:16,2045
日用百货,32,94,115.81893,28.69857,121.5709367,29.87045953,2023/2/1 10:18,2023/2/2 20:23,1500
砂石散货,34,87,115.54809,28.84766,119.720812,30.23039809,2023/2/1 15:56,2023/2/3 0:58,2900
五金机械,18,53,116.26725,28.36675,113.8699,27.6494,2023/2/1 9:19,2023/2/2 11:27,1350
