type,w_i^v,v_i^v,lat_i^v,lon_i^v
冷藏车,35,93,114.4849548,27.19488221
高栏车,33,94,116.2678214,28.97026524
厢车,20,72,116.7642553,28.86087693
平板车,34,96,116.8668478,28.94602803
厢车,32,90,115.6422723,26.59557904
高栏车,35,97,116.6961327,26.54421385
高栏车,20,68,116.0671843,29.04830238
厢车,34,94,116.4319929,26.26118381
高栏车,19,65,114.895987,25.79287634
冷藏车,21,72,116.6327834,29.48296845
冷藏车,20,66,115.870149,28.4444821
冷藏车,19,66,116.1814122,29.44749536
平板车,33,98,116.0538257,29.03344095
低栏车,21,68,116.0972543,29.08201738
平板车,20,71,116.4387829,29.26599381
冷藏车,35,94,116.8002581,26.66826191
平板车,34,93,115.8362694,27.99168721
厢车,33,90,116.2916831,28.98825903
厢车,20,65,113.2563039,24.059066
平板车,35,96,116.8000524,26.66798762
高栏车,20,67,115.6414495,26.5944819
平板车,19,72,116.0206794,25.82912058
低栏车,33,94,115.9289314,29.22488524
低栏车,21,75,116.8658192,28.9446566
通风箱车,34,97,115.8229838,29.10564762
厢车,33,91,117.821652,29.97790391
通风箱车,32,96,114.4836176,27.19309935
平板车,32,97,116.4647343,29.53936238
低栏车,21,75,114.8949585,25.79150491
高栏车,35,90,114.7888242,26.89002931
冷藏车,33,97,117.2439339,28.88829229
低栏车,33,100,114.9237347,27.01928543
高栏车,19,65,116.28083,29.05627
厢车,19,65,116.45949,29.5335
通风箱车,21,70,118.5354377,29.02575361
低栏车,35,95,114.92808,28.06033
平板车,32,97,116.6366234,29.48725178
冷藏车,19,71,115.79203,29.072795
厢车,21,69,114.92847,28.06069
低栏车,19,74,116.5947367,29.49334667
平板车,19,71,115.9327924,28.10535524
厢车,19,66,116.1293745,29.10855185
高栏车,21,75,115.2130695,27.97130095
低栏车,19,70,114.711399,27.11436759
高栏车,33,98,116.10234,29.087535
低栏车,34,92,116.3450654,29.04624752
低栏车,19,69,117.324295,29.31100822
通风箱车,19,73,116.7088469,29.40820058
冷藏车,33,95,116.2722,28.975
低栏车,33,92,116.7421272,29.567463
平板车,20,75,116.030161,28.79233653
平板车,19,71,116.2203003,29.26329334
厢车,35,90,116.2450667,28.94363333
低栏车,32,96,115.6064809,28.84053605
厢车,34,90,117.325145,29.31170822
高栏车,35,94,115.8745338,28.04222738
通风箱车,32,99,116.5962067,29.49457667
冷藏车,32,99,116.6387934,29.48910678
通风箱车,32,95,115.8754638,28.04302238
冷藏车,32,91,115.20273,28.055195
冷藏车,21,68,116.15613,29.14942
厢车,19,75,116.3450667,29.06648333
低栏车,21,75,118.5362377,29.02645361
平板车,33,98,116.2528867,28.96896333
通风箱车,32,96,116.7077469,29.40715058
高栏车,34,99,114.92883,28.06098
冷藏车,34,96,116.5000041,29.31230164
高栏车,32,92,116.5944115,29.49301715
高栏车,34,95,116.3228382,29.14756697
通风箱车,21,75,117.2957819,28.92357406
低栏车,35,98,115.645159,26.59874191
通风箱车,35,97,116.2956112,28.9923976
冷藏车,35,92,116.6997889,26.54818909
冷藏车,19,68,116.3226026,29.14741312
高栏车,32,96,114.2740048,28.05234048
厢车,21,66,116.1012962,29.08650262
通风箱车,32,92,116.2955683,28.99233331
通风箱车,34,97,115.7636742,26.72683143
通风箱车,35,92,115.7918705,29.07256405
厢车,34,95,116.7676972,28.86455645
高栏车,34,100,116.3445,29.06586666
高栏车,21,72,116.4998756,29.31210879
低栏车,32,92,115.7636314,26.72676714
低栏车,19,65,114.9281376,28.06027476
高栏车,33,95,116.2531857,28.96904524
低栏车,35,94,116.1012105,29.08637405
冷藏车,20,73,116.6123234,29.39917601
厢车,34,95,116.6996603,26.54799623
低栏车,21,70,116.2318648,29.02578048
高栏车,19,66,116.2724562,28.97501762
