type,w_j^c,v_j^c,lat_j^c1,lon_j^c1,lat_j^c2,lon_j^c2,t_j^c1,t_j^c2,f_j^c
砂石散货,17,53,115.7321,28.72175,118.9398286,28.98547143,2023/2/1 11:05,2023/2/2 21:55,2200
砂石散货,20,45,115.9248667,28.63433333,121.4430571,28.68703714,2023/2/1 14:15,2023/2/2 23:09,6300
生鲜果蔬,20,54,115.7347667,28.72408333,118.9398286,28.98547143,2023/2/1 11:43,2023/2/2 21:49,2200
机器零件,17,48,116.27295,28.3728,118.8790214,28.93508,2023/2/1 15:31,2023/2/2 23:12,2300
砂石散货,20,50,115.8615,28.6915,120.7027655,28.00176762,2023/2/1 8:14,2023/2/2 16:40,3500
机器零件,31,76,115.8244667,28.70333333,114.98084,27.12112,2023/2/1 10:54,2023/2/2 15:40,1400
生鲜果蔬,18,42,115.5543667,28.853083,114.53259,25.802,2023/2/1 10:03,2023/2/2 16:59,1550
机器零件,20,54,114.93245,25.38192,119.7070036,29.08410143,2023/2/1 14:45,2023/2/2 15:02,3500
机器零件,30,79,114.35252,25.40196,114.93231,25.87184,2023/2/1 13:39,2023/2/2 23:34,1500
五金机械,20,63,114.53259,25.802,120.5749857,30.00312286,2023/2/1 12:41,2023/2/2 18:19,6250
砂石散货,31,74,115.35196,26.33164,116.62175,28.23152,2023/2/1 9:01,2023/2/2 12:18,1550
五金机械,18,46,115.78103,25.60128,119.7194,27.5704,2023/2/1 9:50,2023/2/2 18:05,2600
五金机械,19,43,114.9321,25.87172,114.62012,27.38076,2023/2/1 15:06,2023/2/2 18:24,1500
生鲜果蔬,29,94,116.03132,25.88136,121.3854786,28.37821143,2023/2/1 9:04,2023/2/2 13:44,5080
日用百货,18,60,114.93108,25.87124,120.62916,27.78028,2023/2/1 15:24,2023/2/2 23:46,6200
日用百货,18,70,115.8615,28.6915,120.4329679,30.88214429,2023/2/1 11:45,2023/2/2 17:33,3000
日用百货,32,67,114.9806,27.121,121.1528644,27.83179048,2023/2/1 15:00,2023/2/2 16:06,4800
日用百货,17,44,116.26725,28.36675,120.202073,30.27160762,2023/2/1 9:16,2023/2/2 18:52,2600
日用百货,17,57,115.94641,28.67584,119.7070036,29.08410143,2023/2/1 14:31,2023/2/2 21:37,2900
五金机械,33,84,115.54939,28.84886,115.78103,25.60128,2023/2/1 11:50,2023/2/2 19:23,1286
五金机械,19,58,116.2687,28.36805,115.37103,28.42128,2023/2/1 13:17,2023/2/2 14:18,1500
砂石散货,30,84,115.9236667,28.63313333,121.7210613,29.95052096,2023/2/1 12:55,2023/2/3 0:41,6170
生鲜果蔬,34,60,115.7332667,28.72248333,120.57455,30.00102095,2023/2/1 14:39,2023/2/2 18:54,4915
日用百货,30,69,115.72343,28.71272,120.2352543,29.28127524,2023/2/1 14:10,2023/2/2 19:36,3900
五金机械,17,65,117.1198,28.9695,120.1706043,30.25029572,2023/2/1 13:00,2023/2/2 13:33,3000
生鲜果蔬,18,42,113.84955,27.62975,121.5511028,29.88054142,2023/2/1 14:11,2023/2/2 20:19,6830
机器零件,17,43,115.5418252,28.84122952,118.9366629,28.98178381,2023/2/1 8:50,2023/2/2 11:17,2300
机器零件,31,74,115.53936,28.83839,121.8510198,29.93050048,2023/2/1 13:17,2023/2/2 13:43,4800
机器零件,29,79,115.84906,28.67919,120.0803243,30.89949524,2023/2/1 11:24,2023/2/2 13:53,3260
日用百货,34,91,115.90793,28.68807,114.3774295,27.79870095,2023/2/1 15:20,2023/2/2 22:04,1286
日用百货,32,85,115.8691,28.66915,119.9013807,31.01987666,2023/2/1 11:37,2023/2/2 20:42,4000
五金机械,29,89,115.91877,28.62873,121.7210613,29.95052096,2023/2/1 10:44,2023/2/2 13:44,4800
日用百货,17,61,115.72879,28.71871,120.2706459,30.1703162,2023/2/1 14:01,2023/2/2 16:11,3000
砂石散货,17,59,115.72614,28.71586,121.1512275,30.03060286,2023/2/1 12:30,2023/2/2 19:38,6150
日用百货,18,47,115.9219467,28.63150333,114.2678924,26.71891524,2023/2/1 11:43,2023/2/2 17:54,1880
砂石散货,17,70,115.7317167,28.72113333,113.7303,27.6503,2023/2/1 13:42,2023/2/2 18:24,2300
机器零件,34,80,115.9523967,28.68160333,116.3496238,27.97983238,2023/2/1 14:53,2023/2/3 1:30,1100
生鲜果蔬,17,46,116.17942,29.26921,114.3774295,27.79870095,2023/2/1 12:42,2023/2/2 15:30,1700
机器零件,34,75,116.18039,29.27,115.3501267,26.32990667,2023/2/1 8:32,2023/2/2 12:34,1286
五金机械,31,67,114.93066,27.80034,120.5724371,30.0002581,2023/2/1 9:56,2023/2/2 16:29,4300
日用百货,20,59,114.66933,27.81958,120.57455,30.00102095,2023/2/1 14:18,2023/2/2 17:35,6300
砂石散货,31,77,117.0697,28.26937,120.1305627,30.27027524,2023/2/1 15:00,2023/2/2 21:02,2200
五金机械,18,60,115.9077,28.6879,120.7013522,28.00066429,2023/2/1 9:18,2023/2/2 18:03,3000
机器零件,29,62,115.86869,28.668835,121.5508536,29.88041857,2023/2/1 12:21,2023/2/2 23:43,4300
生鲜果蔬,32,79,115.91818,28.62827,114.5307481,25.80025381,2023/2/1 10:25,2023/2/2 13:00,1820
砂石散货,17,67,115.9236681,28.54309381,120.572085,30.00013095,2023/2/1 14:01,2023/2/2 18:47,3000
砂石散货,32,75,115.94687,28.67693,113.7303,27.6503,2023/2/1 8:49,2023/2/2 17:21,2375
砂石散货,30,90,115.92572,28.545755,120.1704381,30.28021381,2023/2/1 10:29,2023/2/2 11:42,4190
砂石散货,20,41,115.81457,28.69458,120.7000143,30.76947238,2023/2/1 13:12,2023/2/2 22:19,3500
机器零件,32,80,115.54342,28.843405,122.2084235,30.00241952,2023/2/1 15:50,2023/2/2 22:05,3950
日用百货,30,84,115.35196,26.33164,118.8763107,28.93165666,2023/2/1 11:54,2023/2/2 17:37,2900
砂石散货,18,62,115.78103,25.60128,120.4306765,30.87962239,2023/2/1 8:16,2023/2/2 10:44,3300
五金机械,18,52,115.9228,28.6327,120.2706459,30.1703162,2023/2/1 9:56,2023/2/2 14:18,3200
机器零件,19,65,116.03132,25.88136,120.6272286,27.7782381,2023/2/1 12:35,2023/2/2 22:44,3200
生鲜果蔬,17,45,114.93108,25.87124,120.6803974,28.1493981,2023/2/1 8:15,2023/2/2 9:49,3500
日用百货,19,63,114.98084,27.12112,120.4017633,27.50061333,2023/2/1 13:51,2023/2/2 15:06,3300
生鲜果蔬,19,41,114.9806,27.121,116.3496238,27.97983238,2023/2/1 13:36,2023/2/3 1:12,1550
日用百货,18,59,116.26725,28.36675,120.6513937,28.02068476,2023/2/1 10:37,2023/2/2 19:16,3200
砂石散货,32,90,115.94641,28.67584,121.231269,30.17062333,2023/2/1 15:22,2023/2/2 18:00,3300
砂石散货,32,89,115.54939,28.84886,121.5511028,29.88054142,2023/2/1 8:39,2023/2/2 19:29,1500
砂石散货,33,85,116.2687,28.36805,114.377661,27.7988081,2023/2/1 14:48,2023/2/2 21:54,2045
砂石散货,17,47,115.9236667,28.63313333,119.1810393,29.03605857,2023/2/1 10:24,2023/2/2 21:44,1350
机器零件,31,77,115.7332667,28.72248333,114.9806,27.121,2023/2/1 15:30,2023/2/2 23:01,1000
五金机械,18,41,115.72343,28.71272,121.4434607,28.68723286,2023/2/1 13:28,2023/2/2 16:54,3300
砂石散货,17,45,117.1198,28.9695,121.5724357,29.87169143,2023/2/1 14:45,2023/2/3 1:04,3200
