type,w_i^v,v_i^v,lat_i^v,lon_i^v
冷藏车,32,100,116.711147,30.04269987
厢车,34,94,116.281069,29.05626191
低栏车,20,69,116.0993645,29.07624427
低栏车,35,98,116.1011419,29.08627119
厢车,21,71,114.1724874,23.8740905
通风箱车,20,69,116.040884,28.74785712
通风箱车,20,65,116.0993302,29.07619284
厢车,33,95,114.0546198,24.92192988
低栏车,34,90,116.5084609,29.35857729
低栏车,33,99,118.5073643,28.99473005
低栏车,34,95,116.1285064,29.10755804
高栏车,21,71,116.7081002,29.40731391
厢车,33,99,114.7102538,27.11310807
厢车,21,67,115.9477592,28.78145714
冷藏车,32,95,115.6778966,28.62211828
厢车,19,70,118.5073128,28.99465291
冷藏车,21,74,116.2625005,29.06003405
高栏车,33,95,116.3225039,29.14706554
通风箱车,20,73,118.4929662,28.93195266
高栏车,21,67,116.2910848,29.06746048
通风箱车,35,97,116.5083581,29.358423
厢车,21,69,116.0435843,29.02066809
厢车,19,74,115.6455843,26.59889769
厢车,20,66,116.3435659,29.04460657
平板车,19,74,113.0649033,23.84451403
高栏车,35,97,114.7696519,28.13877671
通风箱车,32,93,116.6120663,29.3987903
通风箱车,33,93,116.3014962,29.00772762
通风箱车,35,93,116.8411968,29.57880338
厢车,32,98,116.0247555,25.83358868
平板车,20,67,116.3435059,29.04451657
平板车,34,95,116.5031318,29.29992251
冷藏车,34,98,116.295174,28.99174188
高栏车,19,72,115.9475536,28.67154291
高栏车,19,73,116.4998272,28.53527854
厢车,35,95,117.5282476,29.38165476
厢车,19,67,116.5030889,29.29985823
高栏车,20,74,114.2639805,28.04387905
高栏车,20,71,115.9318143,28.10412143
低栏车,20,67,116.1008333,29.08580833
低栏车,19,71,116.0588348,29.03856048
厢车,19,73,118.5308737,29.94583768
厢车,20,69,116.636131,29.48644654
通风箱车,32,92,114.9505365,25.85078436
平板车,35,98,116.0729405,28.93461905
冷藏车,35,95,114.8992575,25.79624729
低栏车,21,66,115.8867973,28.04471425
通风箱车,33,94,116.0433615,29.02033381
低栏车,19,67,114.2638862,28.04373762
通风箱车,21,71,114.8992232,25.79619586
低栏车,21,72,116.6041452,29.36856098
通风箱车,33,91,116.5080924,29.35802443
厢车,33,100,116.0587319,29.03840619
低栏车,32,93,115.6775623,28.62161685
低栏车,35,99,116.0297458,28.79154701
高栏车,32,100,113.260003,24.0629941
厢车,33,96,116.4692776,29.54425476
低栏车,20,65,115.8723628,28.03990429
高栏车,33,96,116.024507,25.83321582
厢车,35,92,115.9473307,28.67120862
冷藏车,35,96,117.8252035,29.98127905
平板车,20,75,115.8410656,27.99667816
高栏车,20,66,114.7949833,26.89690312
厢车,32,92,116.7690315,28.86590788
低栏车,20,68,116.10455,29.0896
低栏车,20,74,115.8416156,27.99722816
通风箱车,32,91,117.6635138,29.27608438
通风箱车,21,75,114.7982949,25.17128355
平板车,34,94,116.9669989,29.03778339
平板车,19,68,115.1518112,27.13871703
平板车,35,92,115.64814,26.60163
通风箱车,32,96,117.5262654,28.21631161
通风箱车,19,75,116.2981107,28.99488855
通风箱车,33,97,116.346433,29.04743228
通风箱车,34,98,114.93095,28.06311
低栏车,35,97,115.681199,28.62551352
冷藏车,19,67,117.3153424,29.3478173
通风箱车,33,94,116.3178835,29.01682375
高栏车,32,91,116.6135415,29.40071982
高栏车,20,73,118.4943729,28.93357934
平板车,20,72,116.07335,29.0548
平板车,32,90,116.284,29.05925
平板车,21,65,115.50546,27.65468001
厢车,21,75,117.5265454,28.21650661
通风箱车,19,69,117.32182,28.50205
平板车,32,100,116.07508,29.056295
低栏车,32,92,117.53224,29.38566
厢车,20,65,116.26775,29.065025
通风箱车,34,99,117.53286,29.38619
高栏车,35,95,114.4927838,27.20240959
高栏车,32,98,116.5097819,29.36007538
厢车,20,71,116.19537,28.79788
低栏车,35,94,116.47252,29.54776
低栏车,35,94,114.9010918,25.79834872
通风箱车,32,90,116.2455667,28.94423333
厢车,20,69,115.87554,28.04332
冷藏车,20,68,116.3455963,29.04663561
冷藏车,19,69,116.2939448,29.07040048
低栏车,20,67,116.4453362,29.27298762
低栏车,21,71,116.7441767,29.56915395
低栏车,21,66,116.9667779,29.0375353
